2026-04-12 14:33:03.136259 | TYPE=NORMAL | RESULT=SUCCESS | LATENCY=0.010801
2026-04-12 14:33:06.341363 | TYPE=RELAY | RESULT=REJECTED | LATENCY=0.200758
2026-04-12 14:33:09.336834 | TYPE=RELAY | RESULT=REJECTED | LATENCY=0.201025
2026-04-12 14:33:12.166948 | TYPE=NORMAL | RESULT=SUCCESS | LATENCY=0.010695
2026-04-12 14:33:15.349078 | TYPE=RELAY | RESULT=REJECTED | LATENCY=0.200986
2026-04-12 14:33:18.175872 | TYPE=NORMAL | RESULT=SUCCESS | LATENCY=0.010518
2026-04-12 14:33:21.356877 | TYPE=RELAY | RESULT=REJECTED | LATENCY=0.200358
2026-04-12 14:33:24.168882 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000149
2026-04-12 14:33:27.174522 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000190
2026-04-12 14:33:30.201883 | TYPE=NORMAL | RESULT=SUCCESS | LATENCY=0.011097
2026-04-12 14:33:33.194778 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000046
2026-04-12 14:33:36.192119 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000071
2026-04-12 14:33:39.403727 | TYPE=RELAY | RESULT=REJECTED | LATENCY=0.200365
2026-04-12 14:33:42.422733 | TYPE=RELAY | RESULT=REJECTED | LATENCY=0.201061
2026-04-12 14:33:45.205656 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000140
2026-04-12 14:33:48.270598 | TYPE=NORMAL | RESULT=SUCCESS | LATENCY=0.010621
2026-04-12 14:33:51.231128 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000253
2026-04-12 14:33:54.262715 | TYPE=NORMAL | RESULT=SUCCESS | LATENCY=0.010809
2026-04-12 14:33:57.243665 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000193
2026-04-12 14:34:00.293693 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000210
2026-04-12 14:36:06.290981 | TYPE=NORMAL | RESULT=SUCCESS | LATENCY=0.010938
2026-04-12 14:36:09.490688 | TYPE=RELAY | RESULT=REJECTED | LATENCY=0.200696
2026-04-12 14:36:12.279600 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000092
2026-04-12 14:36:15.308034 | TYPE=NORMAL | RESULT=SUCCESS | LATENCY=0.010697
2026-04-12 14:36:18.292892 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000185
2026-04-12 14:36:21.485091 | TYPE=RELAY | RESULT=REJECTED | LATENCY=0.200803
2026-04-12 14:36:24.312007 | TYPE=NORMAL | RESULT=SUCCESS | LATENCY=0.010866
2026-04-12 14:36:27.320328 | TYPE=NORMAL | RESULT=SUCCESS | LATENCY=0.010742
2026-04-12 14:36:30.299404 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000206
2026-04-12 14:36:33.307471 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000176
2026-04-12 14:36:36.334534 | TYPE=NORMAL | RESULT=SUCCESS | LATENCY=0.010801
2026-04-12 14:36:39.339115 | TYPE=NORMAL | RESULT=SUCCESS | LATENCY=0.010428
2026-04-12 14:36:42.333074 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000190
2026-04-12 14:36:45.529290 | TYPE=RELAY | RESULT=REJECTED | LATENCY=0.200617
2026-04-12 14:36:48.349828 | TYPE=NORMAL | RESULT=SUCCESS | LATENCY=0.010744
2026-04-12 14:36:51.362039 | TYPE=NORMAL | RESULT=SUCCESS | LATENCY=0.010678
2026-04-12 14:36:54.372146 | TYPE=NORMAL | RESULT=SUCCESS | LATENCY=0.011144
2026-04-12 14:36:57.557381 | TYPE=RELAY | RESULT=REJECTED | LATENCY=0.200507
2026-04-12 14:37:00.563661 | TYPE=RELAY | RESULT=REJECTED | LATENCY=0.200893
2026-04-12 14:37:03.567892 | TYPE=RELAY | RESULT=REJECTED | LATENCY=0.200381
